Distance,Speed,TravelMode,ETA,journey_id
3.28,8.0,Bike,26.6,3626
1.12,8.0,Bike,12.5,1224
0.21,3.4,Walk,3.9,717
0.11,3.5,Walk,3.5,142
4.64,33.3,Car,19.0,2436
0.1,3.0,Walk,3.8,2488
2.96,8.0,Bike,25.4,1254
1.82,8.0,Bike,14.7,3736
2.03,8.1,Bike,17.0,2384
9.34,32.0,Car,24.6,408
0.78,3.0,Walk,21.7,2075
3.47,43.8,Car,4.0,3371
0.1,15.6,Bike,4.0,228
2.04,25.3,Car,11.3,520
0.32,4.2,Walk,7.0,3449
1.16,4.0,Walk,14.6,824
7.7,23.6,Car,22.4,3695
0.22,10.6,Bike,5.6,4165
2.35,8.0,Bike,22.8,4157
0.28,3.0,Walk,8.6,3722
2.08,20.4,Car,15.0,1534
0.87,3.0,Walk,18.1,2138
1.28,29.3,Car,17.1,342
0.87,8.0,Bike,11.6,1696
2.94,11.1,Bike,18.5,2622
0.39,4.4,Walk,7.4,3822
0.1,3.7,Walk,3.9,2126
5.43,15.0,Car,20.9,336
7.51,13.8,Bike,40.4,4057
11.29,61.9,Car,22.4,870
5.5,43.3,Car,13.8,728
0.17,8.2,Bike,3.4,2275
1.79,17.6,Bike,8.4,4366
2.99,15.0,Car,23.3,2795
8.68,15.0,Car,46.5,2666
0.65,4.7,Walk,12.4,345
1.76,3.0,Walk,31.2,3775
0.1,3.0,Walk,2.2,1335
5.54,44.2,Car,14.0,1759
4.13,13.2,Bike,20.5,3368
2.87,11.0,Bike,16.9,1321
4.77,12.4,Bike,22.3,298
14.82,53.9,Car,16.1,1694
4.88,28.8,Car,14.9,2172
1.82,3.5,Walk,32.8,318
2.21,3.8,Walk,34.4,3080
6.39,22.4,Car,23.8,3444
3.0,4.0,Walk,40.3,4237
2.79,32.1,Car,7.6,2202
6.77,49.5,Car,15.6,638
2.29,10.3,Bike,15.7,1082
15.72,15.0,Car,66.9,2251
19.1,24.4,Car,56.3,935
1.48,8.0,Bike,22.1,1658
3.68,47.7,Car,12.1,279
8.21,45.6,Car,19.1,1616
2.0,3.9,Walk,28.1,1393
7.96,27.5,Car,21.0,478
8.03,51.1,Car,15.3,3881
0.3,46.4,Car,5.8,2978
4.39,32.0,Car,21.0,2086
0.85,3.0,Walk,20.0,501
3.42,24.0,Car,12.9,4234
0.1,6.3,Walk,3.2,253
4.14,8.0,Bike,36.3,4213
1.73,11.0,Bike,13.3,662
0.11,8.2,Bike,5.8,2608
0.98,3.0,Walk,19.7,370
0.5,17.1,Bike,4.6,2843
0.67,3.3,Walk,12.1,4350
0.1,14.9,Bike,5.5,938
14.64,39.0,Car,26.7,2991
3.81,47.6,Car,10.5,892
6.01,30.9,Car,14.6,4259
0.11,3.0,Walk,5.5,2518
0.1,3.4,Walk,6.0,1788
3.31,15.0,Car,16.7,427
3.25,33.9,Car,13.9,466
10.85,29.4,Car,25.3,364
1.06,5.3,Walk,17.6,641
5.24,52.6,Car,6.3,842
6.28,11.6,Bike,35.0,1719
2.09,39.1,Car,11.5,517
2.88,8.7,Bike,18.8,740
1.12,3.0,Walk,26.4,827
8.51,20.8,Car,27.3,861
2.11,11.0,Bike,13.5,2842
3.68,19.2,Car,18.7,786
2.27,36.1,Car,4.8,1245
8.74,41.2,Car,12.9,1566
4.84,18.2,Car,24.7,3020
0.78,3.2,Walk,18.8,2263
3.0,3.0,Walk,63.6,1329
1.13,44.8,Car,9.7,915
1.92,9.8,Bike,17.1,2550
0.74,3.0,Walk,15.7,118
6.02,20.9,Car,19.4,1029
0.32,16.9,Bike,4.1,2326
2.98,18.9,Car,14.3,3026
1.24,13.4,Bike,10.2,1612
2.27,36.5,Car,4.8,4344
7.95,38.1,Car,11.9,1636
0.5,3.8,Walk,10.2,1683
2.08,8.4,Bike,21.0,1972
0.62,15.0,Car,5.7,907
0.46,4.2,Walk,7.8,1675
4.91,15.0,Car,23.2,1715
0.71,4.0,Walk,12.7,3777
3.09,54.7,Car,8.2,2039
2.6,16.4,Bike,9.3,655
1.26,34.3,Car,11.8,2591
5.78,15.0,Car,30.1,2798
2.34,15.0,Car,14.1,965
1.41,16.5,Bike,10.4,514
0.78,3.6,Walk,14.6,1803
5.48,11.1,Bike,34.9,2457
0.1,3.0,Walk,5.9,4067
11.6,24.8,Car,42.8,2239
14.45,42.7,Car,29.4,1856
0.3,16.6,Bike,6.0,4273
0.1,3.0,Walk,7.4,3683
14.05,15.0,Car,56.0,3389
1.58,3.0,Walk,35.1,817
1.85,20.1,Car,8.9,402
0.45,13.4,Bike,5.1,2646
9.91,21.4,Car,31.6,4094
7.28,39.6,Car,11.9,1051
0.14,4.6,Walk,5.0,1722
2.43,8.0,Bike,24.5,1509
1.83,3.0,Walk,42.9,1307
1.32,15.3,Bike,8.3,1962
3.51,15.0,Car,15.4,1426
1.84,15.4,Car,9.0,1007
1.35,3.0,Walk,31.4,3298
0.9,17.7,Car,20.2,192
9.6,16.7,Car,45.1,3529
11.14,51.4,Car,13.1,3755
1.2,5.0,Walk,15.4,600
0.76,8.4,Bike,7.3,299
0.13,3.0,Walk,8.7,972
1.83,38.0,Car,7.5,1503
18.79,22.1,Car,48.7,354
1.71,3.0,Walk,35.2,3914
10.6,36.7,Car,20.3,1302
5.48,40.2,Car,12.7,3748
12.39,26.0,Car,31.6,3697
1.84,8.0,Bike,19.8,931
4.68,36.3,Car,13.1,3289
0.1,3.0,Walk,5.0,1978
3.6,15.0,Car,15.8,2038
8.83,29.1,Car,24.3,3554
7.14,32.2,Car,22.1,3837
0.88,16.0,Bike,6.5,2428
7.51,10.6,Bike,47.2,2179
4.55,15.0,Car,21.9,2561
2.28,15.0,Car,20.5,1256
5.83,36.2,Car,13.0,2739
6.57,27.6,Car,23.7,1896
1.72,8.0,Bike,16.6,4084
1.75,18.7,Car,6.7,3145
1.01,4.7,Walk,16.3,3004
3.57,8.2,Bike,28.5,1106
1.2,9.8,Bike,10.5,4248
3.39,8.9,Bike,30.4,35
0.12,3.0,Walk,7.0,2637
3.38,54.7,Car,3.4,4110
5.94,12.8,Bike,33.3,956
0.42,3.0,Walk,11.8,4076
1.31,4.4,Walk,18.1,3437
1.23,15.0,Car,12.3,1114
1.74,3.9,Walk,29.0,2048
3.09,30.4,Car,21.0,2452
1.23,38.3,Car,5.6,4028
0.12,4.3,Walk,2.5,1863
0.1,3.8,Walk,4.7,424
3.81,30.7,Car,11.9,1327
7.58,30.7,Car,21.3,4206
0.32,3.0,Walk,10.0,1680
0.1,10.7,Bike,4.8,4205
5.23,23.7,Car,28.3,3294
7.09,11.4,Bike,44.2,4230
1.41,14.4,Bike,7.6,1657
6.97,41.2,Car,14.0,2149
0.35,8.0,Bike,7.2,2573
0.56,10.6,Bike,4.8,650
0.72,32.3,Car,11.2,913
0.68,14.4,Bike,6.6,534
1.71,24.5,Car,10.7,1750
0.26,3.2,Walk,6.8,1535
6.07,17.7,Car,39.7,4387
1.74,8.1,Bike,15.9,46
4.43,33.4,Car,14.4,1682
4.12,29.8,Car,18.6,1952
6.57,35.8,Car,13.1,134
7.32,15.0,Car,35.0,305
4.72,18.3,Car,15.4,1346
7.91,21.4,Car,25.2,3546
3.31,31.1,Car,17.5,3352
5.07,16.3,Bike,23.0,219
4.04,9.1,Bike,28.2,1842
0.58,3.0,Walk,14.2,4066
0.37,3.0,Walk,12.6,1837
2.05,14.0,Bike,14.8,1542
4.31,16.7,Car,19.5,3996
2.72,3.0,Walk,57.7,3096
0.73,3.7,Walk,12.0,161
6.29,15.0,Car,32.4,4103
3.76,32.1,Car,9.2,1394
1.04,4.4,Walk,16.4,347
0.41,3.2,Walk,7.8,3615
4.9,27.4,Car,26.7,3833
0.1,3.9,Walk,7.9,439
5.42,8.0,Bike,38.9,1447
1.88,15.7,Bike,11.8,1040
0.13,3.0,Walk,6.9,613
0.94,8.0,Bike,9.2,3333
0.39,5.0,Walk,8.7,2131
4.08,15.0,Car,19.2,4049
1.55,3.4,Walk,30.0,954
4.61,15.0,Car,23.7,3926
7.88,15.0,Car,25.7,2895
1.15,8.0,Bike,11.7,1064
4.87,11.1,Bike,33.1,4035
1.1,3.8,Walk,15.7,2429
6.82,20.1,Car,24.6,3328
7.29,44.4,Car,22.4,693
0.44,16.3,Car,8.8,4303
8.0,10.5,Bike,48.5,887
0.59,20.9,Bike,4.4,4207
3.65,34.2,Car,12.1,2270
3.08,13.0,Bike,16.9,3048
1.67,10.9,Bike,13.9,1850
0.59,3.8,Walk,12.2,4119
0.73,3.0,Walk,19.8,1001
0.51,3.8,Walk,11.5,3058
0.92,3.0,Walk,22.7,3824
3.0,5.1,Walk,33.6,325
7.87,15.0,Car,33.1,4167
5.75,27.7,Car,14.2,2801
0.47,3.0,Walk,9.5,4011
0.51,3.0,Walk,14.4,2634
1.52,13.0,Bike,13.6,2487
0.42,3.0,Walk,10.4,1019
0.81,3.0,Walk,23.8,88
0.9,15.0,Bike,8.2,1991
7.98,29.0,Car,20.5,855
0.52,49.1,Car,1.0,1707
9.44,15.0,Car,45.2,773
3.37,15.0,Car,23.0,4017
1.93,21.0,Car,13.7,2167
1.16,48.0,Car,2.5,257
0.34,3.3,Walk,10.4,2821
2.54,31.2,Car,5.4,1253
6.6,15.0,Car,31.5,4012
0.99,3.0,Walk,20.3,2101
2.26,28.0,Car,12.6,2667
0.96,12.2,Bike,7.8,3739
1.25,24.2,Car,7.0,1514
4.77,43.0,Car,16.7,3861
5.55,17.2,Bike,22.6,3780
1.73,15.0,Car,6.9,1748
2.81,17.5,Car,16.5,2851
4.11,14.3,Bike,19.6,2888
0.29,3.0,Walk,9.6,3531
0.28,10.2,Bike,3.7,2953
7.26,38.1,Car,12.8,3395
7.96,15.0,Car,47.9,944
1.81,51.2,Car,11.4,505
3.97,36.2,Car,16.8,1785
1.11,3.2,Walk,20.1,1527
5.57,23.9,Car,17.1,3174
2.51,9.6,Bike,21.6,448
2.07,10.1,Bike,14.6,1598
0.8,8.0,Bike,9.2,1273
3.61,15.0,Car,14.9,2013
0.93,3.0,Walk,23.8,1062
4.45,8.8,Bike,38.3,2517
5.46,33.1,Car,23.5,2969
3.52,8.7,Bike,27.6,1666
0.46,3.0,Walk,13.5,2496
1.8,19.5,Car,9.6,2563
2.16,12.9,Bike,13.5,4034
1.21,15.0,Car,17.2,198
2.56,26.0,Car,16.2,489
0.92,3.0,Walk,17.6,850
3.0,30.0,Car,14.2,2749
0.11,4.8,Walk,5.0,784
10.84,79.8,Car,12.7,377
7.39,48.0,Car,12.7,992
3.61,48.6,Car,5.8,409
0.14,3.7,Walk,2.3,3288
0.45,3.5,Walk,7.6,2387
0.1,3.6,Walk,3.7,3018
5.67,23.4,Car,23.5,2780
4.26,32.6,Car,20.9,700
8.2,30.4,Car,25.3,2738
7.72,8.7,Bike,67.9,651
1.17,8.8,Bike,8.4,2754
2.34,3.2,Walk,42.2,1862
8.96,38.6,Car,18.9,1700
2.13,13.9,Bike,12.3,1755
0.14,3.0,Walk,5.5,4148
1.55,52.7,Car,14.2,1373
2.67,8.0,Bike,26.4,372
1.01,8.0,Bike,11.0,4402
6.73,20.2,Car,24.9,1261
1.47,3.0,Walk,33.3,1838
5.1,9.8,Bike,32.8,1408
2.53,9.7,Bike,19.2,371
2.09,22.5,Car,12.1,948
5.63,24.0,Car,20.4,2158
2.04,12.9,Bike,12.7,696
0.54,3.2,Walk,11.8,3611
6.19,15.0,Car,23.9,945
1.82,9.6,Bike,15.4,2568
2.13,3.0,Walk,41.3,2962
3.62,13.6,Bike,19.8,4341
0.84,10.2,Bike,8.2,390
2.32,3.0,Walk,42.0,1986
1.12,11.2,Bike,13.2,1528
0.73,47.8,Car,6.0,224
3.01,35.8,Car,5.5,4308
0.61,4.2,Walk,11.2,1184
1.01,4.3,Walk,13.3,2675
0.29,8.0,Bike,3.4,540
5.66,19.6,Car,22.5,4146
10.53,23.3,Car,33.7,1938
2.53,13.3,Bike,15.9,403
17.29,35.7,Car,39.8,47
0.24,14.6,Bike,3.6,159
0.7,3.0,Walk,17.0,4381
0.96,33.8,Car,8.8,2973
2.82,25.0,Car,8.7,664
0.98,43.1,Car,7.6,2294
15.49,24.2,Car,43.5,2288
0.14,3.0,Walk,4.2,3849
2.93,15.0,Bike,14.9,310
0.1,4.5,Walk,3.1,4122
0.75,3.2,Walk,17.6,1211
5.77,9.5,Bike,46.7,3347
0.1,3.0,Walk,7.0,2053
4.21,18.4,Car,21.0,3237
5.32,8.0,Bike,39.2,1880
8.18,33.3,Car,26.4,2317
1.05,4.3,Walk,16.6,443
0.26,3.0,Walk,7.0,1092
8.95,34.2,Car,15.3,2209
12.65,23.3,Car,41.2,4183
11.34,35.9,Car,20.3,3263
5.11,69.4,Car,10.1,1964
0.1,8.0,Bike,2.7,851
2.02,15.0,Car,11.4,4285
2.38,26.8,Car,10.9,3400
0.59,8.0,Bike,7.0,3134
0.92,3.0,Walk,24.8,2477
0.63,3.0,Walk,12.1,3988
4.4,51.5,Car,6.1,2381
0.32,3.0,Walk,10.5,3910
2.6,25.1,Car,16.0,3087
0.44,3.0,Walk,12.4,2839
1.7,8.2,Bike,18.1,2342
0.43,5.1,Walk,6.7,3360
5.92,34.2,Car,12.4,4361
2.63,10.5,Bike,16.0,2354
0.34,29.0,Car,4.7,1810
0.89,3.0,Walk,22.1,27
0.15,5.2,Walk,3.5,247
2.83,16.3,Car,20.0,991
4.9,15.0,Car,22.5,2811
4.98,49.3,Car,9.4,3786
0.1,3.0,Walk,4.5,2073
0.78,8.0,Bike,10.6,2920
7.66,17.4,Car,32.2,4197
12.41,16.2,Car,63.2,1543
0.7,4.8,Walk,14.5,25
17.25,48.1,Car,25.9,1226
12.65,45.2,Car,21.8,452
0.42,4.1,Walk,7.5,742
0.5,3.0,Walk,10.4,1357
4.43,44.0,Car,8.7,774
12.21,54.1,Car,23.9,832
3.31,14.1,Bike,19.2,3850
5.69,15.6,Car,27.2,2447
1.96,25.7,Car,7.2,1766
1.43,10.0,Bike,13.8,366
2.56,3.4,Walk,44.4,487
0.1,13.8,Bike,4.0,391
0.77,3.0,Walk,17.1,4107
1.5,3.0,Walk,35.0,4198
9.15,26.5,Car,34.9,4337
0.18,3.0,Walk,4.6,2871
3.93,17.0,Car,25.8,2539
0.65,3.0,Walk,15.7,1314
11.39,53.4,Car,13.2,3743
5.06,45.2,Car,13.3,1895
1.15,9.3,Bike,13.7,1448
12.73,33.0,Car,40.4,4414
0.15,3.4,Walk,4.8,2910
9.18,39.8,Car,21.3,859
1.19,10.0,Bike,10.6,3466
1.97,13.8,Bike,11.6,302
7.15,52.1,Car,18.3,1976
15.25,57.4,Car,20.2,2297
2.91,24.5,Car,14.4,3700
8.42,15.0,Car,46.0,837
0.1,5.3,Walk,3.0,4365
2.16,15.0,Car,12.5,4412
0.98,8.0,Bike,11.0,2256
7.38,40.3,Car,19.7,1554
4.57,32.3,Car,15.0,4293
2.12,39.7,Car,9.4,3975
8.61,32.9,Car,24.7,160
1.24,4.4,Walk,16.6,1751
0.24,3.0,Walk,6.4,1213
5.26,43.4,Car,12.4,722
2.48,3.0,Walk,54.5,3072
8.1,30.3,Car,13.2,469
5.43,22.4,Car,19.6,3440
6.51,23.3,Car,23.7,3462
0.1,3.0,Walk,5.4,1753
1.59,20.4,Car,9.7,12
7.0,39.7,Car,12.1,3844
4.62,18.3,Bike,15.4,3902
0.91,4.4,Walk,13.9,635
13.1,72.4,Car,16.0,2369
0.58,8.0,Bike,7.4,3021
5.19,47.5,Car,14.2,2524
1.84,23.5,Car,19.0,1820
2.04,21.8,Car,17.1,3507
6.95,8.0,Bike,60.4,2712
0.39,3.5,Walk,7.6,3076
0.1,3.0,Walk,4.3,671
7.71,25.1,Car,22.5,184
4.01,15.0,Car,26.9,3184
0.71,15.0,Car,11.5,3285
12.09,49.0,Car,24.4,14
1.99,8.0,Bike,17.8,1299
0.85,15.5,Bike,7.3,3185
1.43,3.0,Walk,24.6,1006
9.43,54.5,Car,17.3,1732
0.87,9.7,Bike,7.0,2711
4.88,40.9,Car,15.9,1894
0.5,3.7,Walk,10.0,1943
3.01,15.0,Car,27.5,889
10.2,22.6,Car,34.2,1355
0.1,4.2,Walk,5.2,3603
5.63,39.4,Car,13.9,1539
1.24,3.0,Walk,24.6,488
14.98,31.4,Car,34.4,1247
3.67,15.0,Car,21.2,2187
0.27,3.0,Walk,6.4,1559
1.47,4.0,Walk,22.9,2700
4.89,21.0,Car,15.7,653
7.24,46.8,Car,9.3,1632
0.18,3.0,Walk,8.6,1382
16.38,53.4,Car,25.6,1326
4.34,9.7,Bike,26.2,3839
0.45,3.7,Walk,7.3,1660
0.71,29.0,Car,6.0,1300
0.66,5.2,Walk,9.1,1655
0.43,4.2,Walk,6.7,780
0.81,30.9,Car,7.1,3735
4.46,27.4,Car,24.4,3733
0.2,3.0,Walk,7.8,250
7.39,51.6,Car,20.5,565
8.29,25.5,Car,28.7,3173
6.55,10.4,Bike,41.6,407
1.96,19.1,Bike,8.2,2325
1.38,34.0,Car,8.6,387
4.44,15.0,Car,22.8,1297
2.48,25.4,Car,16.3,1135
2.96,17.4,Car,23.1,130
5.0,49.9,Car,14.9,4047
2.63,15.0,Car,18.8,4382
6.78,34.8,Car,16.5,3112
2.56,29.1,Car,13.8,1601
0.18,4.6,Walk,4.3,1603
1.28,18.5,Car,10.3,681
0.56,12.2,Bike,5.9,772
9.69,15.0,Car,43.5,762
1.36,20.5,Bike,9.4,748
13.51,39.8,Car,30.1,3727
3.53,47.5,Car,7.7,3382
0.32,3.4,Walk,7.8,1412
0.1,3.0,Walk,4.0,3272
3.49,15.0,Car,29.1,3846
8.0,8.0,Bike,78.9,3544
4.81,15.0,Car,21.0,4378
0.19,3.0,Walk,7.0,500
1.65,9.5,Bike,14.0,2714
0.37,13.6,Bike,6.1,811
1.93,16.4,Bike,10.7,3043
0.23,3.3,Walk,4.2,3354
6.02,23.9,Car,18.7,1057
8.53,35.0,Car,26.6,2090
0.1,3.0,Walk,3.8,2266
1.18,8.0,Bike,9.2,4225
0.68,3.5,Walk,14.4,3931
1.98,30.8,Car,9.4,1688
12.05,17.8,Car,48.9,4289
1.87,11.6,Bike,9.7,3908
3.64,42.7,Car,8.4,266
0.87,3.3,Walk,18.4,2658
0.71,22.5,Car,8.6,1832
7.47,30.9,Car,24.2,1183
0.6,4.4,Walk,8.7,3057
18.54,22.8,Car,62.8,3632
8.05,15.0,Car,42.4,2140
6.18,15.0,Car,31.3,3378
0.64,3.0,Walk,16.3,2817
1.8,18.6,Car,10.6,1098
9.44,28.4,Car,33.2,2740
1.1,3.0,Walk,26.9,579
0.28,4.7,Walk,5.5,686
3.57,13.4,Bike,23.0,2579
0.1,3.0,Walk,6.2,1709
1.04,15.3,Car,14.7,1407
6.87,26.8,Car,23.1,3397
8.0,8.0,Bike,60.2,353
4.71,30.8,Car,17.7,2107
0.1,11.0,Bike,1.6,997
1.23,15.0,Car,8.5,3111
5.74,26.6,Car,17.1,1059
0.42,8.3,Bike,9.1,4126
2.56,15.0,Car,15.7,535
10.22,19.0,Car,40.0,2468
0.1,3.1,Walk,1.7,276
20.58,63.8,Car,29.0,4385
0.44,8.0,Bike,6.7,1323
2.48,15.8,Bike,11.9,2155
1.19,3.0,Walk,25.2,770
3.69,42.2,Car,7.1,93
6.92,17.2,Car,30.9,4292
6.29,34.0,Car,16.9,2272
0.69,12.2,Bike,8.0,1769
5.5,29.3,Car,20.4,2316
1.03,3.9,Walk,17.6,1222
1.35,33.9,Car,5.4,351
2.88,44.2,Car,8.8,3638
2.76,8.0,Bike,26.6,3274
1.13,3.0,Walk,26.1,799
1.88,3.0,Walk,46.6,4199
4.79,10.5,Bike,29.7,2210
1.03,8.0,Bike,11.1,3362
4.3,25.4,Car,12.7,3595
1.19,49.2,Car,7.7,1795
2.7,25.2,Car,8.3,768
1.07,3.0,Walk,25.2,2439
1.59,8.0,Bike,15.4,928
0.34,4.2,Walk,6.7,689
2.76,3.0,Walk,57.7,1525
4.56,32.9,Car,25.3,1333
0.18,3.0,Walk,6.5,3538
1.13,8.0,Bike,11.7,2283
1.48,28.6,Car,4.1,4391
0.12,3.0,Walk,4.2,1325
7.42,37.1,Car,19.0,2460
2.68,13.0,Bike,13.9,3002
18.36,31.9,Car,34.2,2303
6.73,30.3,Car,16.3,2613
0.14,3.0,Walk,4.2,3070
0.7,4.3,Walk,13.0,2867
1.09,3.0,Walk,23.6,1570
1.44,19.9,Car,6.1,3961
11.61,17.1,Car,48.1,3562
0.1,3.0,Walk,4.3,2905
1.73,26.5,Car,10.2,1379
10.36,15.8,Car,60.7,3085
11.01,18.4,Car,40.7,3702
0.7,3.0,Walk,16.4,564
0.4,8.1,Bike,14.2,1909
1.1,3.3,Walk,27.4,3432
1.59,20.4,Bike,8.3,2357
7.15,23.9,Car,28.2,1081
0.27,4.8,Walk,5.4,3246
1.72,8.0,Bike,18.7,3827
0.52,10.8,Bike,6.8,1928
0.1,17.1,Bike,3.6,3552
0.14,3.0,Walk,5.7,4275
8.86,41.6,Car,19.3,953
0.94,3.0,Walk,23.2,2093
1.21,3.7,Walk,21.4,290
4.47,8.0,Bike,42.6,3677
0.2,4.1,Walk,6.3,1698
0.18,10.5,Bike,2.8,2715
11.0,43.9,Car,17.5,1589
1.08,8.0,Bike,13.8,2699
7.01,45.8,Car,14.1,3693
2.16,15.0,Car,16.2,164
0.68,16.3,Bike,5.3,1934
1.97,11.0,Bike,13.1,3920
0.31,4.5,Walk,5.0,40
0.99,3.8,Walk,16.7,1693
0.92,10.1,Bike,8.1,1400
1.09,3.4,Walk,18.3,4244
0.18,4.0,Walk,6.1,985
1.48,11.2,Bike,10.7,1409
3.64,21.0,Car,16.5,3907
0.4,3.0,Walk,9.4,3363
2.02,3.0,Walk,42.1,1065
1.66,21.6,Car,13.1,147
5.07,18.8,Car,17.0,862
4.93,15.0,Car,23.9,1511
1.21,31.4,Car,2.6,2442
1.04,4.0,Walk,13.9,1783
