Distance,Speed,TravelMode,ETA,journey_id
1.63,12.3,Bike,13.3,1039
0.44,3.7,Walk,9.7,2148
0.18,10.3,Bike,4.6,4261
1.67,3.0,Walk,34.7,3189
0.28,3.0,Walk,8.3,2691
1.78,12.1,Bike,16.0,1840
0.33,4.3,Walk,6.8,572
1.43,10.5,Bike,9.2,3202
1.27,11.7,Bike,11.8,588
5.85,27.0,Car,26.8,1324
0.31,3.0,Walk,9.4,766
10.07,31.6,Car,23.7,2903
4.19,15.0,Car,14.6,496
5.19,15.0,Car,25.6,1774
4.65,24.8,Car,14.4,2722
4.08,43.6,Car,15.7,533
0.21,4.3,Walk,5.2,2087
6.06,8.8,Bike,36.5,432
2.09,15.0,Car,7.9,2145
0.64,3.9,Walk,11.8,2474
4.16,35.2,Car,14.5,4354
1.16,3.0,Walk,25.8,1628
3.82,36.9,Car,14.1,1283
0.1,3.0,Walk,4.3,3935
0.18,3.8,Walk,4.2,3789
5.63,29.3,Car,14.5,2543
8.41,32.0,Car,20.4,3835
0.74,9.7,Bike,9.2,3812
1.61,11.9,Bike,11.3,2415
4.3,21.3,Car,23.9,1334
2.22,11.7,Bike,20.2,3922
0.3,4.7,Walk,6.3,3765
5.76,20.8,Car,20.9,3292
6.41,23.2,Car,16.2,884
1.46,3.3,Walk,34.1,2616
6.24,31.2,Car,16.8,251
13.03,34.1,Car,19.5,459
8.68,25.1,Car,25.3,819
4.11,15.0,Car,24.4,2465
0.31,3.0,Walk,9.6,2278
2.45,8.0,Bike,21.9,165
6.61,19.2,Car,30.2,2877
7.62,23.3,Car,26.5,2687
0.44,9.1,Bike,4.9,394
2.38,35.6,Car,15.9,482
11.73,23.2,Car,37.3,1353
0.95,8.3,Bike,10.5,2331
1.0,3.6,Walk,21.6,1319
1.8,23.9,Car,11.7,3581
5.16,26.7,Car,22.4,68
2.2,29.3,Car,5.2,155
19.84,40.6,Car,36.8,1879
2.97,33.2,Car,9.2,2121
1.94,29.8,Car,7.4,1419
0.1,15.1,Bike,2.8,3587
8.1,15.0,Car,32.7,3998
0.18,17.4,Bike,1.1,2032
1.8,3.5,Walk,34.0,730
1.72,10.4,Bike,13.6,3464
0.54,3.0,Walk,15.2,1767
5.57,15.0,Car,25.6,358
0.1,12.2,Bike,3.3,3210
2.61,14.9,Bike,12.3,3785
11.3,26.3,Car,31.1,1371
7.58,15.3,Car,33.6,899
1.01,10.4,Bike,10.3,3579
3.02,38.3,Car,15.4,3770
12.36,15.0,Car,49.7,2414
14.2,42.7,Car,23.5,1865
0.13,3.0,Walk,4.4,139
0.89,8.0,Bike,11.7,3665
2.49,32.2,Car,10.2,1376
0.5,3.0,Walk,16.4,1825
0.33,4.8,Walk,7.6,2998
1.35,4.0,Walk,20.5,2217
0.37,3.9,Walk,8.7,1
11.49,41.7,Car,23.9,2352
4.27,16.2,Car,20.3,1817
4.03,15.3,Bike,16.7,405
1.46,3.6,Walk,28.6,2028
9.82,15.0,Car,45.5,2777
1.94,3.0,Walk,37.4,727
6.87,28.4,Car,18.6,4302
0.1,3.0,Walk,2.6,1648
5.85,21.9,Car,23.7,3855
12.48,64.9,Car,20.9,617
1.53,8.0,Bike,16.1,3630
6.34,29.9,Car,17.8,263
0.78,8.0,Bike,9.0,3181
2.31,3.0,Walk,58.7,2620
0.35,3.0,Walk,9.2,3831
0.32,8.0,Bike,5.8,1009
6.59,10.5,Bike,42.4,2577
0.18,8.0,Bike,9.9,1550
2.99,16.8,Car,17.5,2076
1.75,27.3,Car,7.3,598
0.75,4.7,Walk,10.4,2943
2.51,36.6,Car,12.1,4170
4.06,27.3,Car,12.0,752
0.11,21.9,Bike,1.0,3419
2.98,33.7,Car,7.2,4211
0.1,3.7,Walk,4.0,388
2.14,65.6,Car,6.2,2355
3.73,40.9,Car,8.1,60
1.04,4.1,Walk,17.0,3171
0.61,5.0,Walk,8.8,1305
1.77,8.0,Bike,18.9,43
6.7,38.3,Car,15.6,2017
4.08,33.9,Car,7.1,2117
0.76,13.9,Bike,6.6,3213
2.49,9.1,Bike,18.7,925
0.57,3.0,Walk,14.7,3159
2.41,56.4,Car,4.3,3853
4.62,23.1,Car,22.2,3315
0.36,3.0,Walk,9.8,2000
1.11,3.0,Walk,27.7,970
6.3,21.7,Car,27.7,3209
1.58,32.6,Car,4.2,3453
2.02,3.0,Walk,44.7,1332
0.95,3.0,Walk,19.1,3715
4.34,19.0,Car,14.1,1368
0.11,3.0,Walk,5.6,4187
11.42,40.2,Car,22.6,3648
3.35,8.0,Bike,30.0,1160
9.36,39.6,Car,18.6,3277
6.98,22.2,Car,24.6,4164
1.3,4.2,Walk,20.6,2836
3.35,8.0,Bike,30.3,4036
1.45,13.0,Bike,9.2,3338
0.58,3.0,Walk,14.8,1262
0.71,3.8,Walk,8.2,3964
12.9,15.8,Car,53.4,2990
0.32,3.6,Walk,8.4,1032
0.52,5.7,Walk,8.9,3717
0.51,3.0,Walk,15.3,1992
0.55,3.5,Walk,12.3,737
1.33,17.6,Bike,4.6,729
0.14,4.3,Walk,3.8,1138
17.81,56.8,Car,23.6,153
1.42,14.6,Bike,10.4,3588
0.86,29.0,Car,3.8,675
3.17,41.7,Car,8.3,783
3.29,36.9,Car,11.3,1435
5.83,18.3,Car,23.7,3113
1.2,8.3,Bike,13.4,2349
2.84,37.7,Car,9.1,413
4.77,33.0,Car,13.4,1474
0.78,10.3,Bike,7.9,4352
8.58,23.1,Car,25.7,3420
8.26,31.7,Car,21.0,4333
1.12,4.9,Walk,16.3,3051
0.44,18.6,Car,4.9,2908
0.35,18.1,Bike,4.5,233
0.4,3.0,Walk,9.4,3332
1.53,15.0,Car,14.5,3205
8.0,8.0,Bike,80.8,1923
8.68,28.0,Car,20.7,3540
0.71,18.8,Car,8.2,4124
3.73,19.2,Car,26.1,3374
0.1,3.2,Walk,4.0,1816
1.9,13.2,Bike,14.1,3714
1.32,18.5,Car,9.8,4236
0.94,55.7,Car,8.9,2292
11.88,15.0,Car,53.8,2664
13.92,15.8,Car,56.4,683
0.67,12.7,Bike,5.4,313
3.0,16.0,Car,22.5,1388
1.38,3.0,Walk,28.0,3609
1.8,15.0,Car,12.3,939
0.88,8.0,Bike,10.1,914
1.46,4.0,Walk,22.7,793
3.72,8.0,Bike,27.1,3258
0.8,9.7,Bike,7.8,3779
3.11,16.1,Car,15.2,1946
2.27,51.5,Car,5.6,2222
3.17,19.2,Car,17.8,4401
8.8,58.5,Car,12.5,3668
2.2,9.5,Bike,19.0,1957
11.93,33.1,Car,21.9,2347
2.63,10.3,Bike,21.6,3859
5.01,34.9,Car,15.0,791
0.96,8.0,Bike,12.9,1967
8.62,47.6,Car,14.0,871
7.03,25.2,Car,20.0,2818
3.0,4.1,Walk,38.8,2870
5.93,17.6,Car,21.8,4359
8.9,30.8,Car,14.0,2110
1.2,8.0,Bike,16.6,326
1.04,3.0,Walk,20.5,2301
4.67,30.2,Car,19.7,4374
3.9,8.0,Bike,31.0,3361
1.3,8.0,Bike,12.5,1808
6.55,33.8,Car,11.1,1328
3.27,8.0,Bike,25.8,2212
6.8,27.6,Car,25.9,301
4.56,11.6,Bike,23.8,2293
7.09,28.2,Car,22.1,3972
2.8,20.5,Car,16.4,2680
0.36,3.0,Walk,10.1,181
1.12,43.5,Car,8.7,2570
6.34,15.1,Car,37.7,3016
0.1,3.3,Walk,3.6,656
6.02,38.2,Car,12.4,582
2.49,3.2,Walk,45.6,2709
0.51,3.0,Walk,11.0,2259
3.32,13.3,Bike,19.2,369
0.2,3.3,Walk,4.9,1257
0.13,4.4,Walk,4.5,335
0.84,8.0,Bike,14.1,3906
0.12,4.4,Walk,3.4,816
2.28,3.0,Walk,55.3,611
2.92,25.5,Car,15.3,2290
1.07,4.1,Walk,13.7,2980
6.38,48.5,Car,24.5,3679
6.85,30.6,Car,18.4,1768
3.0,35.7,Car,9.2,1069
15.43,17.5,Car,66.9,3416
2.48,16.0,Bike,13.2,4239
1.18,26.3,Car,6.5,1811
1.38,3.0,Walk,29.8,1626
2.15,23.2,Car,16.1,1118
2.55,14.4,Bike,13.0,1643
1.45,15.0,Car,5.3,1116
0.98,8.0,Bike,12.6,3293
10.95,31.5,Car,37.0,3379
7.64,15.6,Car,35.7,3047
0.27,8.0,Bike,3.0,927
0.45,3.0,Walk,12.9,4023
2.42,23.9,Car,11.9,2654
10.38,73.0,Car,13.7,3959
2.98,9.1,Bike,20.6,125
2.96,15.0,Car,17.9,2569
0.11,3.8,Walk,1.8,744
6.64,39.0,Car,14.1,1754
11.91,15.0,Car,60.0,4032
7.0,8.0,Bike,58.2,2719
5.56,52.6,Car,14.5,3819
7.12,17.0,Car,30.7,3950
12.01,51.3,Car,16.4,475
6.39,17.1,Car,22.5,4316
0.83,11.5,Bike,4.9,3505
5.29,40.9,Car,11.4,3302
4.9,15.0,Car,29.9,2674
2.38,12.9,Bike,14.1,3276
0.13,3.2,Walk,3.8,2761
2.33,11.2,Bike,13.3,3089
2.72,10.8,Bike,20.4,3084
1.83,27.6,Car,7.6,1730
1.09,3.0,Walk,26.0,3078
1.78,4.3,Walk,25.8,4155
0.77,4.4,Walk,15.2,645
0.52,3.1,Walk,16.4,194
4.57,31.9,Car,14.3,2024
1.4,53.3,Car,5.5,528
6.57,15.0,Car,37.8,3373
0.92,3.3,Walk,18.3,1899
6.12,39.1,Car,12.7,3867
0.87,5.0,Walk,11.0,3475
2.76,48.5,Car,8.3,3168
0.99,19.0,Bike,3.7,2199
0.66,4.1,Walk,12.7,2445
12.61,19.9,Car,45.0,1284
2.2,9.7,Bike,19.1,101
1.06,8.1,Bike,10.7,2230
6.25,10.2,Bike,34.2,2586
12.37,53.7,Car,17.0,4208
10.93,34.2,Car,18.2,909
5.73,20.3,Car,30.3,606
1.11,3.0,Walk,25.0,355
2.53,8.0,Bike,29.1,758
0.17,3.0,Walk,4.9,1770
0.15,18.1,Bike,4.3,2008
16.66,39.7,Car,27.4,901
2.22,13.7,Bike,12.5,1133
0.55,9.8,Bike,5.9,3451
5.13,27.6,Car,20.2,614
2.43,12.3,Bike,18.0,1953
0.43,15.2,Bike,6.8,1105
1.93,3.1,Walk,42.3,2710
3.0,3.0,Walk,61.1,1312
0.75,27.7,Car,6.2,3520
5.48,15.0,Car,30.5,3730
0.46,3.4,Walk,11.8,1949
0.26,3.1,Walk,6.8,2417
2.49,10.6,Bike,15.7,2207
1.11,42.6,Car,8.2,1290
0.34,3.0,Walk,7.8,2058
1.32,3.0,Walk,28.9,3652
5.45,42.3,Car,13.0,3167
2.76,17.1,Car,11.2,1464
1.45,11.6,Bike,10.5,852
5.73,22.8,Car,16.5,3220
0.61,3.0,Walk,13.1,4266
1.77,11.6,Bike,11.5,1186
1.72,31.4,Car,4.1,1828
3.39,64.0,Car,10.6,3585
3.34,23.8,Car,15.5,2662
2.11,38.1,Car,5.3,2915
4.62,30.5,Car,10.0,1728
1.57,8.3,Bike,13.3,2560
0.73,15.0,Car,8.8,2696
0.1,8.0,Bike,5.4,486
7.03,15.0,Car,29.6,3633
1.4,15.0,Car,15.9,807
0.16,10.2,Bike,5.7,2858
0.38,9.4,Bike,6.1,868
1.42,3.0,Walk,33.0,461
11.02,29.2,Car,27.8,3150
0.4,11.4,Bike,5.7,2967
1.19,4.6,Walk,14.8,188
1.03,3.5,Walk,21.1,1109
7.58,23.5,Car,31.2,2277
0.97,3.5,Walk,21.6,1276
6.42,15.0,Car,34.7,3610
1.54,4.2,Walk,21.0,1942
6.47,35.9,Car,18.0,3590
0.24,3.4,Walk,8.1,1187
0.55,4.1,Walk,10.0,2025
1.52,25.3,Car,3.3,557
1.91,9.3,Bike,12.8,3348
5.73,14.5,Bike,27.5,636
13.27,23.0,Car,35.8,2108
7.32,19.9,Car,27.4,553
0.14,3.0,Walk,6.1,3858
21.63,31.0,Car,42.6,2885
3.0,15.0,Car,15.0,3860
3.63,24.9,Car,10.0,3559
0.2,3.0,Walk,6.9,1390
3.63,34.1,Car,6.0,1318
6.52,15.0,Car,28.8,2694
0.62,3.0,Walk,17.4,3381
0.1,3.0,Walk,4.6,2774
2.84,15.0,Car,18.4,3500
0.29,8.4,Bike,7.1,2245
8.0,12.9,Bike,42.8,3807
2.8,37.6,Car,6.8,1427
0.1,21.2,Bike,3.3,445
13.37,51.8,Car,17.0,1418
0.11,8.0,Bike,4.0,3242
3.04,8.0,Bike,24.2,585
5.09,11.2,Bike,25.1,2196
0.69,8.0,Bike,7.6,1512
2.5,3.0,Walk,58.8,584
3.0,3.0,Walk,53.4,2312
3.25,38.9,Car,7.2,71
14.86,53.4,Car,19.2,2218
7.07,27.9,Car,18.7,1567
0.42,4.8,Walk,8.2,3086
0.61,3.9,Walk,12.6,3153
0.52,3.4,Walk,12.8,511
0.1,3.2,Walk,6.2,3349
10.11,43.2,Car,17.5,133
1.18,30.7,Car,7.7,2348
0.43,4.1,Walk,9.8,3865
1.12,3.6,Walk,20.7,2944
0.88,3.0,Walk,21.9,1733
3.18,8.5,Bike,26.8,3655
10.54,41.1,Car,18.0,3936
0.54,3.0,Walk,12.5,3296
1.43,42.5,Car,9.9,1868
4.44,15.0,Car,17.1,1937
3.07,8.8,Bike,21.4,2633
5.4,13.8,Bike,24.8,3905
0.87,9.8,Bike,6.7,428
0.38,3.0,Walk,10.6,1720
0.29,14.7,Bike,2.9,1438
0.49,9.5,Bike,5.5,1739
2.06,23.7,Car,9.7,4156
0.16,3.9,Walk,4.9,4228
1.79,12.5,Bike,11.1,4194
1.17,33.5,Car,11.2,1359
1.48,6.1,Walk,20.6,3488
2.24,20.0,Car,14.5,3052
8.08,15.0,Car,32.0,2484
3.93,34.9,Car,13.1,3549
6.17,23.8,Car,18.3,2963
0.12,3.0,Walk,5.5,2565
7.19,34.7,Car,20.5,1545
20.55,15.0,Car,77.6,834
3.31,23.3,Car,18.4,3664
4.38,15.0,Car,23.8,2400
7.31,39.8,Car,13.5,2139
8.0,8.0,Bike,64.8,3265
1.4,19.1,Car,8.5,1747
11.94,27.5,Car,27.6,4283
0.48,3.0,Walk,9.6,2390
13.68,25.2,Car,43.8,3574
0.13,14.2,Bike,4.3,3523
18.55,47.2,Car,28.5,21
2.13,4.7,Walk,31.3,2469
13.09,33.5,Car,20.1,3130
4.42,15.0,Car,25.2,2702
0.79,13.2,Bike,6.3,1110
0.39,3.2,Walk,9.2,2659
0.1,9.3,Bike,9.3,1210
0.78,10.7,Bike,7.2,4255
9.39,15.0,Car,43.4,3110
12.59,56.7,Car,19.8,1929
0.58,3.0,Walk,13.0,3904
4.16,15.0,Car,18.2,4151
1.06,3.0,Walk,27.5,3778
0.1,3.0,Walk,5.0,2828
0.43,5.5,Walk,6.7,2085
1.17,14.4,Bike,8.1,719
7.5,15.0,Car,29.2,2125
5.09,15.7,Car,20.7,1875
3.52,43.2,Car,12.7,2188
0.82,3.0,Walk,18.8,1927
0.24,3.0,Walk,8.3,53
0.1,3.0,Walk,5.3,1841
0.41,3.3,Walk,9.4,3139
6.91,25.4,Car,15.2,1958
2.06,3.0,Walk,40.6,2233
3.59,30.3,Car,7.1,559
4.48,40.0,Car,9.3,2688
1.91,34.0,Car,18.2,788
13.74,58.1,Car,16.1,3832
0.11,3.0,Walk,4.1,720
3.12,22.8,Car,16.7,2252
0.26,3.0,Walk,7.9,629
13.12,32.7,Car,30.7,3653
1.62,17.3,Bike,8.8,306
0.36,3.0,Walk,11.4,262
2.45,43.6,Car,3.6,3956
1.24,8.5,Bike,12.3,3547
7.44,51.6,Car,18.6,3977
2.23,14.7,Bike,15.3,2382
3.41,32.4,Car,14.2,959
1.59,8.0,Bike,17.0,4221
5.67,51.9,Car,11.7,3670
0.15,3.9,Walk,4.2,2388
1.0,3.7,Walk,17.1,1451
6.96,42.1,Car,22.2,3359
1.88,32.5,Car,13.7,1443
1.42,13.1,Bike,12.3,2840
8.73,19.6,Car,35.2,1995
4.96,29.6,Car,18.7,3568
2.69,32.5,Car,10.6,3480
7.66,42.4,Car,17.7,1331
1.15,8.0,Bike,15.8,382
8.74,44.1,Car,18.3,4140
1.03,34.4,Car,9.7,3250
5.62,19.2,Car,17.8,4379
4.49,15.0,Car,18.1,3311
0.56,3.7,Walk,10.0,2360
6.31,29.4,Car,19.0,329
1.7,46.8,Car,7.9,4054
0.22,3.0,Walk,7.7,2830
1.84,15.0,Car,12.1,513
1.04,12.6,Bike,8.1,1689
0.21,10.9,Bike,4.7,245
0.1,3.0,Walk,6.1,2401
1.07,14.6,Bike,9.5,2887
0.64,3.5,Walk,13.6,1156
7.87,24.8,Car,27.9,3138
0.1,4.6,Walk,4.8,1236
0.85,15.0,Car,6.1,3752
0.13,10.9,Bike,4.9,777
2.09,15.0,Car,11.1,1779
15.96,15.0,Car,65.6,2927
2.02,8.3,Bike,20.3,4336
0.66,3.9,Walk,11.8,1741
0.55,3.2,Walk,12.0,2296
2.17,17.0,Bike,9.3,764
3.5,43.9,Car,10.9,48
4.36,37.5,Car,14.5,916
0.1,3.0,Walk,4.1,3132
0.1,4.9,Walk,4.4,536
4.32,10.5,Bike,29.6,885
5.68,18.3,Car,31.3,2767
2.21,8.0,Bike,20.3,1945
0.92,13.1,Bike,6.9,294
1.08,3.0,Walk,23.9,2844
1.78,8.0,Bike,16.8,1924
4.7,22.7,Car,16.5,3750
3.9,46.0,Car,21.4,1381
1.36,37.1,Car,6.2,4118
1.83,8.4,Bike,18.5,1085
7.43,9.6,Bike,45.4,116
9.25,31.1,Car,22.0,4254
0.29,3.0,Walk,10.0,2647
2.93,17.2,Car,13.2,4137
13.21,15.0,Car,68.3,3435
2.77,8.0,Bike,20.9,440
0.34,11.3,Bike,6.3,829
8.9,29.3,Car,21.9,1354
1.31,8.0,Bike,12.3,2896
8.0,10.2,Bike,53.3,839
3.59,12.3,Bike,19.6,2679
3.12,12.6,Bike,19.5,2072
0.1,3.0,Walk,5.9,2656
4.68,28.3,Car,24.3,2247
0.1,3.0,Walk,3.5,2683
3.22,39.2,Car,10.2,3919
0.83,3.5,Walk,19.6,2386
3.0,3.3,Walk,42.8,357
0.2,9.5,Bike,6.2,4125
1.49,8.0,Bike,16.8,552
0.13,3.0,Walk,6.3,3573
4.84,34.0,Car,14.8,187
1.02,4.6,Walk,13.7,348
3.02,33.7,Car,7.0,2045
0.8,10.2,Bike,6.2,2267
0.13,3.7,Walk,2.9,1974
0.6,9.8,Bike,8.9,2009
14.35,37.4,Car,33.9,2311
4.03,23.0,Car,21.3,4317
3.98,19.7,Car,25.4,3175
1.78,10.7,Bike,16.0,85
5.68,18.8,Car,22.5,3534
11.06,15.0,Car,51.5,2855
0.1,3.0,Walk,5.3,4232
8.83,16.1,Car,38.4,34
1.82,19.0,Car,19.1,477
1.37,3.0,Walk,31.9,3870
1.87,15.0,Car,12.8,1202
1.48,20.8,Car,18.7,2454
0.1,3.0,Walk,5.4,833
1.93,3.7,Walk,33.1,3469
13.68,48.4,Car,24.0,1552
0.56,3.6,Walk,9.4,414
9.37,15.0,Car,37.0,3377
1.27,3.0,Walk,29.1,3219
12.16,51.0,Car,19.2,239
1.19,4.2,Walk,16.6,1439
1.82,8.2,Bike,10.8,3243
0.75,3.2,Walk,15.8,1907
1.05,15.3,Bike,4.9,1933
1.12,3.5,Walk,18.6,4149
0.78,3.0,Walk,18.7,1127
9.02,15.3,Car,39.7,2614
1.94,14.7,Bike,9.3,209
6.1,14.2,Bike,21.9,2370
4.11,21.6,Car,14.0,981
5.18,43.5,Car,19.5,782
6.15,26.6,Car,25.5,2088
0.52,4.9,Walk,8.1,3723
0.1,3.8,Walk,4.0,4114
1.58,9.0,Bike,12.1,3264
2.26,15.0,Car,17.6,2854
6.6,15.8,Car,30.0,66
1.04,12.2,Bike,9.3,3728
4.85,31.6,Car,17.9,2529
0.69,5.0,Walk,10.2,240
0.1,16.3,Bike,2.9,702
2.27,17.0,Bike,11.6,846
7.06,40.0,Car,22.2,539
1.75,41.2,Car,11.4,1072
1.9,10.6,Bike,13.7,4130
4.8,31.2,Car,11.5,3737
5.65,24.6,Car,12.8,2684
2.02,15.1,Car,16.8,2597
2.69,8.1,Bike,21.0,1886
0.57,3.4,Walk,11.4,4268
2.81,24.9,Car,8.6,124
3.46,20.9,Car,17.1,1912
1.45,4.0,Walk,24.8,3508
3.5,52.4,Car,7.6,1985
3.24,36.2,Car,8.6,1046
3.4,24.0,Car,14.4,3104
6.26,15.0,Car,25.1,3606
3.76,20.5,Car,17.2,3402
3.25,11.1,Bike,24.1,3991
0.63,3.5,Walk,10.3,2011
0.1,8.1,Bike,2.6,3027
6.79,17.5,Car,26.9,4147
0.51,3.0,Walk,9.8,4038
5.7,31.3,Car,12.8,1981
1.28,3.0,Walk,27.8,3719
1.05,51.7,Car,3.9,1182
1.02,23.9,Car,5.0,3039
8.0,8.0,Bike,62.3,2458
3.48,18.4,Car,14.6,2555
2.56,27.7,Car,13.8,1175
13.2,29.1,Car,41.7,384
7.07,35.2,Car,19.6,2606
5.25,15.0,Car,30.7,1459
0.18,4.0,Walk,5.5,3984
3.01,9.5,Bike,25.9,3838
5.95,15.0,Car,33.0,1430
0.95,8.0,Bike,8.7,4235
2.09,15.0,Car,9.8,2772
17.7,32.3,Car,31.0,3013
0.77,3.0,Walk,18.4,1303
0.1,9.8,Bike,1.0,1791
1.88,42.1,Car,4.2,830
0.94,61.7,Car,2.1,3962
12.8,51.9,Car,18.5,2023
0.21,3.6,Walk,5.8,72
1.13,4.2,Walk,20.9,1234
0.98,33.7,Car,11.6,1575
0.2,3.2,Walk,7.5,1034
7.01,22.4,Car,18.1,1959
0.52,3.8,Walk,7.8,3434
6.34,26.0,Car,29.4,4113
6.79,10.3,Bike,42.2,743
1.67,3.7,Walk,27.6,32
2.87,44.7,Car,10.7,4179
6.47,11.0,Bike,38.8,4061
0.21,3.3,Walk,5.2,2467
1.5,14.9,Bike,10.3,1113
1.44,22.7,Car,6.3,3452
0.62,19.6,Car,6.4,2486
0.45,3.0,Walk,11.8,509
2.21,9.0,Bike,15.7,3811
4.8,57.4,Car,11.0,983
1.99,3.0,Walk,46.4,340
0.12,3.0,Walk,4.6,529
4.64,29.6,Car,18.3,3152
0.36,3.0,Walk,8.2,3654
6.19,41.0,Car,13.1,2503
7.24,54.0,Car,12.0,3623
0.36,9.6,Bike,9.3,3223
0.1,3.0,Walk,6.6,3129
0.1,4.0,Walk,3.2,3297
0.9,18.5,Car,12.5,4371
0.18,4.3,Walk,2.8,2873
3.37,15.0,Car,13.6,3658
0.1,3.9,Walk,2.1,1487
0.99,11.5,Bike,6.5,621
2.89,28.5,Car,10.7,2566
2.49,24.0,Car,9.4,3407
12.22,32.2,Car,36.9,4064
0.74,3.7,Walk,14.3,281
2.5,39.2,Car,5.9,2213
2.11,23.5,Car,10.1,3783
3.32,8.4,Bike,29.2,986
5.65,30.7,Car,17.6,2537
8.38,33.6,Car,17.7,822
3.19,14.4,Bike,21.0,2899
2.05,19.0,Bike,10.6,2437
4.14,32.6,Car,22.9,980
4.76,15.0,Car,18.2,4033
1.13,3.8,Walk,16.8,2500
4.84,19.9,Car,19.3,2956
2.68,4.3,Walk,40.4,128
3.57,15.0,Car,22.1,2768
0.36,4.1,Walk,5.3,2882
9.79,15.0,Car,36.4,3888
0.65,3.0,Walk,12.4,265
6.52,15.7,Car,32.6,1068
0.69,3.7,Walk,15.7,3426
11.95,52.9,Car,15.2,4088
14.04,28.9,Car,47.4,4075
0.63,5.3,Walk,9.1,412
4.1,16.7,Bike,20.1,726
0.9,4.9,Walk,13.6,531
0.71,3.0,Walk,12.3,809
1.88,14.0,Bike,7.2,2594
1.0,32.4,Car,15.8,2705
3.0,3.6,Walk,49.4,2759
0.28,8.0,Bike,7.2,988
0.67,3.3,Walk,13.1,4313
9.83,15.0,Car,41.5,4019
12.9,17.9,Car,55.3,2946
5.88,21.9,Car,27.1,1854
0.1,4.8,Walk,1.8,3136
0.18,3.0,Walk,5.1,2945
1.38,8.0,Bike,15.0,1383
5.07,23.3,Car,22.0,2260
6.69,31.1,Car,12.9,1422
0.36,3.0,Walk,8.6,3198
0.42,3.0,Walk,15.1,3934
7.82,29.4,Car,24.3,4413
0.66,3.0,Walk,14.1,3594
0.26,3.2,Walk,5.6,3650
1.66,18.4,Car,15.5,1787
12.18,33.2,Car,25.1,705
3.75,30.2,Car,11.7,435
2.92,27.9,Car,11.6,3571
0.93,3.0,Walk,20.4,4409
1.49,37.8,Car,10.0,1536
0.35,3.0,Walk,9.0,36
9.25,28.6,Car,28.5,3197
